"Population","Latitude","Longitude","Median_house_value","Median_household_income","Mean_household_income"
6071,39.74644,-121.7963,344.6,53224,70911
3556,39.71758,-121.8314,238.6,34571,44319
5266,39.82245,-121.7265,366.2,68304,103163
5739,39.82382,-121.6061,179.6,40926,52040
5640,39.77983,-121.6066,192.7,35891,52714
3373,39.78266,-121.5805,268.3,43777,56689
5184,39.75968,-121.5881,224.5,40135,57364
5331,39.72454,-121.5874,240,34111,56545
2324,39.49532,-121.4657,229.8,57465,72825
3060,39.51825,-121.5935,171,37955,49761
3531,39.48267,-121.5454,148,35625,38090
4396,39.49049,-121.5148,209.5,53176,63458
3222,39.36825,-121.7059,207.8,50365,57986
4758,39.35674,-121.7021,215.7,38468,47864
3404,39.42368,-121.7053,200,44042,56527
4505,39.50497,-121.5965,159.1,38110,47290
9515,38.16929,-120.8681,350.2,67367,81108
5515,38.12236,-120.8465,253.5,72990,78087
5183,39.01084,-122.0364,295.9,49464,60662
5121,39.20352,-122.0106,248.4,56540,68946
3659,38.01292,-121.6332,227.1,37972,59423
6347,37.98681,-121.7048,267.6,73243,74881
7718,37.9834,-121.6874,319.6,75833,86831
10039,37.98502,-121.7284,295.4,96410,108279
10812,37.93918,-121.6854,352.3,64567,76897
9989,37.94752,-121.756,391.1,99119,109460
7080,37.94209,-121.7162,398.8,106815,119535
3718,37.91643,-121.7431,544.3,107582,117047
6620,38.01122,-121.8159,242.8,40457,52875
2985,38.00188,-121.7685,233.6,63201,75111
3324,38.00894,-121.7898,357.6,46083,61592
4166,37.98662,-121.8155,248.8,70278,82142
5038,38.00038,-121.815,186.1,48980,67284
3467,38.00136,-121.8495,191.3,39423,47498
6595,37.99147,-121.8352,211.5,55283,63171
4194,37.98806,-121.7683,349.2,100888,113608
5001,38.02209,-121.8957,217.1,51544,56007
2292,38.01691,-121.8752,307,26930,43610
7251,38.00556,-121.8824,244.8,48762,59290
3222,38.01379,-121.9301,322.8,82770,80025
5757,38.01379,-121.8988,230.9,51184,61109
5923,38.02364,-121.919,187.8,48640,61709
3281,38.02701,-121.9904,389.2,97938,99185
3267,38.00451,-122.1349,381.1,58100,72325
7412,38.00513,-122.1208,354.9,54453,67269
2805,37.9994,-122.1069,484.2,108654,115557
6216,37.99639,-122.0902,446.5,81484,104383
6689,37.97577,-122.0926,541.2,105192,112337
4518,37.96739,-122.1083,581.6,90000,106459
5533,37.98013,-122.0725,371.7,54828,67467
4352,37.95079,-122.0719,552.9,91019,106209
4615,37.93625,-122.056,400.5,55478,69688
5353,37.98965,-122.0268,361.7,77401,85754
7013,37.9766,-122.0131,398.5,65000,80375
7534,37.98273,-121.9992,380.5,73415,85764
3749,37.96322,-122.0012,410.5,59375,72783
7367,37.95575,-121.9767,331.6,63028,85522
4767,37.95176,-121.9875,548.6,112822,113478
6794,37.87571,-122.0571,913.1,110335,138684
5701,37.95463,-122.0449,232.2,30712,42043
7183,37.95096,-122.0268,352.6,54972,71037
3601,37.94123,-122.0422,494,92222,110668
3790,37.93296,-122.0341,660.1,110241,124746
4564,37.92496,-122.0549,481.5,82041,93966
5662,37.91984,-122.0464,508.1,102156,120908
2922,37.92005,-122.0198,845.4,129083,172281
3362,37.88814,-122.0556,458.9,54017,63278
4864,37.8901,-122.0803,832.3,89238,138305
4806,37.89689,-122.0492,818.8,76893,104930
3895,37.74524,-121.9487,642.1,135428,147869
5062,37.74076,-121.9302,667,114375,130110
6513,37.76744,-121.9289,850.1,105687,133879
2859,37.7644,-121.9748,703.4,114668,146563
7816,37.77573,-121.9864,668.3,106217,120687
3433,37.87303,-122.0238,856.1,146488,184089
6171,37.93935,-122.1026,968.9,160903,211269
5512,37.88103,-122.1322,940.4,119020,152339
3635,37.87362,-122.08,232.4,47990,64507
1846,37.86346,-122.0638,583.1,74244,86861
5812,37.86873,-122.1026,972.1,134663,179668
5586,37.82689,-122.1191,997.6,144833,186962
2548,37.83462,-122.1429,827,106875,129402
5048,37.97147,-121.8333,364.7,84031,91544
6416,37.97638,-121.7937,336,84773,86523
4197,37.96922,-121.7683,279.3,84141,84808
11035,37.78882,-121.9074,875.2,159212,180014
4443,37.76469,-121.9099,661.7,88929,95275
5664,37.76731,-121.894,862.1,171949,196987
3484,37.91933,-122.0021,902.3,163633,179046
3759,38.02239,-122.2526,389.9,80993,96148
5375,37.98086,-122.2221,580.6,108286,127591
5298,38.03417,-122.2623,368.4,56097,66063
5051,38.00285,-122.2926,373.4,77479,94396
4542,38.01439,-122.2842,474.6,113545,125867
6148,37.98803,-122.2711,468.1,97731,104133
6726,38.00867,-122.2555,366.9,85617,94015
4702,38.00089,-122.2679,479.8,105815,116024
4576,37.98123,-122.288,434.8,89810,112024
4475,37.95995,-122.2977,361.7,62232,81746
2767,37.94462,-122.3148,430.9,93611,93447
5462,37.95649,-122.3662,258.4,43312,58414
6246,37.95692,-122.3382,218.4,30238,39840
4376,37.94757,-122.3532,293.5,40790,50993
4389,37.9406,-122.3516,264.2,38750,52201
6962,37.93363,-122.3626,122.4,38393,48803
5706,37.91802,-122.3455,413.8,57202,79843
2765,37.92418,-122.2953,731.7,106359,134991
3317,37.92159,-122.3142,423.2,46778,60756
2532,37.91692,-122.3068,436.7,74231,92580
2576,37.90907,-122.3024,550.2,76964,90301
2002,37.90318,-122.2984,524.1,63068,78652
1714,37.90111,-122.3058,541.7,47313,61543
1719,37.90363,-122.2909,617.4,123036,135652
2451,37.90891,-122.2758,756.8,140709,153314
3102,38.02502,-122.2713,658.7,138810,149364
3939,41.75582,-124.2058,179.5,27409,38074
3769,41.76067,-124.1642,254.5,43462,53991
6967,41.77747,-124.2027,241.1,42985,54871
3655,41.88609,-124.0955,258.6,46293,57615
1373,41.54189,-124.034,141.8,30927,41756
4773,38.93831,-119.961,374.8,46807,61679
2469,38.92323,-119.9811,341.7,40417,51107
3498,38.92586,-120.0086,456,52978,65410
3723,38.91006,-120.008,252.4,31811,41035
2641,38.86764,-120.0297,452.2,70726,89222
2912,38.90109,-119.9747,468.1,53285,68674
6781,38.87653,-120.8584,323.4,62593,69411
5961,38.6266,-121.0435,477.2,80833,111101
6020,38.6721,-121.0829,464.4,103040,123589
6377,38.64716,-120.9404,450.3,84651,110735
6897,38.68051,-121.0066,410.3,84657,99536
2447,38.66297,-120.9832,334.3,84911,79990
3437,38.68797,-120.9944,341,61894,75642
3020,38.77886,-120.9326,508.4,79570,103522
5462,38.74109,-120.7835,354.3,59178,73869
5896,38.60954,-120.6626,349,53414,75036
2407,38.69334,-120.7042,406.6,81184,87770
2810,38.63213,-120.8591,445.8,70888,85801
4126,38.94841,-119.9485,352.4,36988,49545
6798,38.67193,-121.0484,589.7,124923,143876
3167,36.73342,-119.8086,161.8,13596,19753
3609,36.72536,-119.803,139,22245,33660
6343,36.72803,-119.7736,135.4,31494,39151
2815,36.74318,-119.7749,210,19547,31449
3606,36.74591,-119.7814,111.8,33438,42285
6161,36.7465,-119.7956,204.5,20146,26083
3921,36.72816,-119.8231,168.1,27386,42795
3151,36.71023,-119.8018,153.8,29637,35452
4106,36.69956,-119.798,129.2,21904,30087
3174,36.71414,-119.7865,153.1,28828,35535
5276,36.74316,-119.692,191,26313,42486
5099,36.63633,-119.6684,239.1,38950,57982
4615,36.65551,-119.7955,236.8,41354,64849
5419,36.75874,-119.8156,161.1,35039,45783
5098,36.76088,-119.7625,110.9,23380,26883
5431,36.75405,-119.7645,114.5,29333,38479
5821,36.74679,-119.7635,171.5,32212,38828
5205,36.75654,-119.7462,127.9,24167,31449
4329,36.74005,-119.7302,143,23179,31728
2897,36.74642,-119.7283,168.9,36343,49599
7048,36.80463,-119.7173,195,38212,43770
4398,36.77634,-119.7426,140.5,33638,47222
3507,36.77574,-119.7657,158.2,39611,44565
4009,36.77271,-119.8116,231.8,58831,70876
4933,36.77605,-119.8292,192.7,33021,43122
8153,36.77036,-119.8932,231.2,64617,81082
5531,36.77733,-119.8693,187,68973,73161
3362,36.76308,-119.8522,224,34384,56577
5082,36.76531,-119.8725,216.4,54875,63347
4771,36.79381,-119.8726,156.9,55240,61787
5256,36.79564,-119.888,208.7,53702,57981
7129,36.72664,-120.0512,197.5,43799,52308
3306,36.79887,-120.0053,296.6,37647,52435
8115,36.81135,-119.9014,292.6,61037,68686
10762,36.81602,-119.8675,191.9,50382,60472
4475,36.82986,-119.8951,279,84241,90791
2629,36.84037,-119.9007,256.3,73450,85252
4848,36.83034,-119.8303,375.2,87756,120221
4162,36.81565,-119.8306,372.3,64211,99337
4040,36.85811,-119.7739,364.6,88456,113792
4723,36.82986,-119.8077,287.6,65220,84819
4866,36.81471,-119.7875,232,32368,43634
2641,36.80296,-119.8249,215,40590,54925
6682,36.79982,-119.8365,140.1,35451,43383
4218,36.78982,-119.8358,157.9,40640,45177
1985,36.79004,-119.8091,251.9,76280,88372
3917,36.80082,-119.7887,188.6,47974,66214
3619,36.78337,-119.7477,147.8,27564,37767
4519,36.78376,-119.7634,165.8,43417,43493
5740,36.7976,-119.7683,165.1,41322,52613
4171,36.81242,-119.7626,145.9,19329,31772
3899,36.83338,-119.7668,227.1,60370,75823
3139,36.83398,-119.7444,245.9,68029,81523
3298,36.81663,-119.7772,245.8,40243,51610
2295,36.88687,-119.743,344.3,95234,105399
5732,36.85927,-119.756,319.3,79271,94686
5796,36.85914,-119.7388,356.1,102019,111100
4997,36.8456,-119.7557,285.1,54418,70429
4824,36.8462,-119.6807,305.2,91481,97333
2952,36.84554,-119.7039,358.6,99038,112176
3961,36.84677,-119.7205,330.9,72167,83471
1653,36.93422,-119.7051,680.5,108681,151126
2753,36.86234,-119.6443,353.8,82146,103025
2698,36.86092,-119.6676,425.5,116750,141865
4467,36.86142,-119.698,395.2,126123,136486
4571,36.86106,-119.7209,374.4,115242,118122
1244,36.8815,-119.6892,388.9,79420,105338
1470,36.83182,-119.7325,276.4,79750,84512
5243,36.82997,-119.6725,263.1,83486,89233
